order_id,ord_id,customer_id,cust_id,order_date,order_datetime,product_id,item_id,quantity,qty,unit_price,price,total_amount,order_total,shipping_cost,tax,discount,status,order_status,payment_method,shipping_address,notes,tracking_number
ORD_00017,17,94,CUST_0094,8/17/2023,2023-09-17T00:27:00.000Z,PROD_052,76,10,1,352.28,334.22,901.49,445.53,6.48,19.53,46.33,delivered,CANCELLED,debit_card,2794 Oak Ave,,TRK202279
ORD_00018,18,301,CUST_0301,2/18/2023,,PROD_180,82,5,3,156.18,263.12,915.69,738.05,14.37,15.71,0.00,delivered,SHIPPED,debit_card,6532 Oak Ave,,
ORD_00019,19,297,CUST_0297,10/18/2023,2023-03-23T18:47:00.000Z,PROD_051,98,6,1,468.78,49.45,528.76,810.02,0.00,13.18,0.00,returned,returned,paypal,3469 Oak Ave,Special delivery instructions,
ORD_00020,20,22,CUST_0022,,2023-02-08T19:59:00.000Z,PROD_141,64,6,1,224.49,287.19,251.10,388.63,0.00,27.93,0.00,,delivered,debit_card,4715 Main St,,TRK679304
ORD_00021,21,134,CUST_0134,2023-05-12,2023-02-19T16:20:00.000Z,PROD_103,106,8,4,219.45,162.29,525.88,777.07,22.98,14.04,0.00,SHIPPED,,debit_card,4465 Pine Rd,,TRK627660
ORD_00022,22,266,CUST_0266,2023-09-20,,PROD_042,80,6,1,464.47,287.47,787.39,371.16,0.00,15.68,0.00,processing,CANCELLED,paypal,3883 Oak Ave,,
ORD_00023,23,152,CUST_0152,2023-10-20,2023-03-17T11:09:00.000Z,PROD_031,80,1,4,207.02,25.45,796.58,291.77,0.00,17.71,0.00,,SHIPPED,credit_card,413 Main St,,
ORD_00024,24,14,CUST_0014,2023-12-22,2023-05-28T14:57:00.000Z,PROD_005,90,3,3,110.36,204.10,646.80,689.94,16.48,2.68,0.00,,SHIPPED,cash,2382 Oak Ave,,
ORD_00025,25,434,CUST_0434,2023-08-08,2023-07-24T15:47:00.000Z,PROD_108,28,6,4,359.11,355.30,134.06,634.44,17.43,29.33,0.00,processing,SHIPPED,cash,7726 Oak Ave,,TRK407427
ORD_00026,26,56,CUST_0056,11/17/2023,2023-11-20T02:57:00.000Z,PROD_016,104,7,5,329.70,291.77,581.12,109.45,20.48,3.32,0.00,pending,pending,paypal,2327 Oak Ave,,
ORD_00027,27,3,CUST_0003,10/3/2023,,PROD_023,90,2,4,36.28,174.24,614.68,831.63,0.00,24.38,25.76,processing,returned,cash,656 Main St,,
ORD_00028,28,299,CUST_0299,2/26/2023,2023-11-05T10:44:00.000Z,PROD_019,132,8,5,41.05,142.13,465.08,623.05,16.68,2.64,0.00,SHIPPED,returned,paypal,7280 Pine Rd,,
ORD_00029,29,291,CUST_0291,9/25/2023,2023-01-06T01:05:00.000Z,PROD_115,21,10,4,30.60,154.90,1036.29,140.21,15.24,26.64,27.77,pending,pending,bank_transfer,8720 Pine Rd,,
ORD_00030,30,492,CUST_0492,2023-05-07,2023-07-04T23:28:00.000Z,PROD_067,26,2,1,93.14,318.10,820.12,731.26,0.00,10.10,0.00,returned,SHIPPED,paypal,4008 Oak Ave,,TRK384951
ORD_00031,31,325,CUST_0325,2/22/2023,2023-10-05T09:20:00.000Z,PROD_190,10,10,2,58.04,397.67,469.76,188.44,6.89,8.38,0.00,CANCELLED,delivered,cash,4986 Main St,,
ORD_00032,32,119,CUST_0119,,,PROD_190,175,7,1,133.29,312.93,898.94,737.95,7.74,20.29,0.00,CANCELLED,pending,debit_card,1506 Pine Rd,Special delivery instructions,
ORD_00033,33,367,CUST_0367,4/2/2023,2023-02-13T17:59:00.000Z,PROD_088,147,2,5,382.95,84.53,781.81,741.15,0.00,51.23,0.00,pending,delivered,cash,6131 Oak Ave,,TRK351008
ORD_00034,34,8,CUST_0008,2023-10-11,2023-01-02T08:59:00.000Z,PROD_032,19,1,4,376.54,274.16,113.99,523.03,13.46,13.78,37.23,CANCELLED,,debit_card,6188 Oak Ave,,
ORD_00035,35,414,CUST_0414,,2023-08-06T05:57:00.000Z,PROD_101,26,9,4,493.12,37.99,442.49,448.60,6.40,30.92,0.00,processing,SHIPPED,debit_card,1714 Main St,,TRK852096
ORD_00036,36,312,CUST_0312,3/27/2023,2023-11-13T15:16:00.000Z,PROD_132,27,10,4,353.57,400.34,930.65,330.51,15.29,10.02,48.86,processing,pending,paypal,8298 Oak Ave,,TRK739330
ORD_00037,37,425,CUST_0425,2023-01-15,2023-02-20T12:51:00.000Z,PROD_180,146,10,5,469.24,241.06,477.24,159.81,0.00,39.92,0.00,delivered,CANCELLED,paypal,7832 Oak Ave,,
ORD_00038,38,85,CUST_0085,2023-04-05,2023-01-20T17:47:00.000Z,PROD_173,168,6,3,335.08,127.43,283.77,56.13,0.00,40.44,0.00,processing,processing,bank_transfer,62 Main St,,
ORD_00039,39,393,CUST_0393,10/14/2023,2023-05-13T20:50:00.000Z,PROD_190,137,1,2,53.40,246.13,905.48,389.45,0.00,5.48,0.00,SHIPPED,pending,bank_transfer,6116 Main St,Special delivery instructions,TRK482861
ORD_00040,40,20,CUST_0020,2023-05-21,2023-03-11T01:06:00.000Z,PROD_121,26,5,4,422.76,373.68,150.74,435.62,6.94,20.20,0.00,CANCELLED,SHIPPED,bank_transfer,848 Pine Rd,,
ORD_00041,41,134,CUST_0134,,2023-05-11T18:50:00.000Z,PROD_144,176,10,2,418.13,319.09,919.44,646.01,18.56,12.37,0.00,delivered,,bank_transfer,4909 Pine Rd,Special delivery instructions,TRK318896
ORD_00042,42,306,CUST_0306,2023-10-07,2023-11-16T05:44:00.000Z,PROD_127,75,2,3,360.82,121.33,400.50,752.79,24.06,46.69,0.00,,,paypal,1890 Oak Ave,,
ORD_00043,43,421,CUST_0421,2023-08-24,2023-11-20T04:13:00.000Z,PROD_122,185,1,1,132.08,90.41,629.23,126.25,12.16,26.03,0.00,CANCELLED,delivered,debit_card,9836 Pine Rd,Special delivery instructions,TRK479376
ORD_00044,44,62,CUST_0062,7/8/2023,2023-06-22T18:34:00.000Z,PROD_002,99,1,4,143.46,126.20,899.41,546.00,10.19,9.89,32.36,delivered,CANCELLED,cash,4163 Oak Ave,,TRK891228
ORD_00045,45,311,CUST_0311,,2023-08-16T11:11:00.000Z,PROD_184,73,10,5,462.10,260.70,560.85,616.19,14.11,42.86,32.13,SHIPPED,CANCELLED,debit_card,1891 Main St,,TRK431144
ORD_00046,46,275,CUST_0275,5/28/2023,2023-08-27T19:08:00.000Z,PROD_070,92,10,5,262.53,314.06,105.09,818.92,0.00,46.75,0.00,delivered,CANCELLED,debit_card,4003 Oak Ave,,
ORD_00047,47,329,CUST_0329,2023-02-16,2023-08-03T09:52:00.000Z,PROD_045,18,5,5,380.52,222.72,172.78,461.38,0.00,6.70,23.40,processing,returned,debit_card,333 Pine Rd,,TRK363615
ORD_00048,48,182,CUST_0182,2023-01-01,2023-01-24T01:42:00.000Z,PROD_041,90,7,5,292.19,201.62,415.57,511.86,23.47,47.95,0.00,delivered,delivered,bank_transfer,1347 Pine Rd,,TRK421711
ORD_00049,49,188,CUST_0188,3/16/2023,2023-01-01T03:18:00.000Z,PROD_101,188,3,2,132.66,135.25,679.88,436.55,16.19,34.56,0.00,processing,SHIPPED,cash,5594 Pine Rd,,
ORD_00050,50,247,CUST_0247,2023-07-02,2023-05-01T17:50:00.000Z,PROD_127,82,7,2,464.69,217.34,167.84,560.01,7.75,50.17,0.00,returned,pending,paypal,9564 Main St,Special delivery instructions,TRK692547
ORD_00051,51,233,CUST_0233,11/2/2023,2023-10-23T00:03:00.000Z,PROD_194,123,10,5,83.11,101.23,181.31,241.15,6.90,8.06,0.00,delivered,processing,debit_card,7075 Pine Rd,,
ORD_00052,52,203,CUST_0203,,2023-05-11T23:00:00.000Z,PROD_055,43,8,5,196.60,233.98,622.20,747.21,20.18,17.88,0.00,pending,returned,bank_transfer,6515 Oak Ave,,TRK803651
ORD_00053,53,90,CUST_0090,2023-07-14,2023-09-26T19:15:00.000Z,PROD_200,150,6,1,120.07,338.49,522.31,42.84,0.00,51.91,0.00,delivered,CANCELLED,debit_card,3990 Pine Rd,,
ORD_00054,54,151,CUST_0151,2023-02-17,2023-11-13T07:51:00.000Z,PROD_085,170,7,4,130.32,392.10,244.43,790.23,24.97,15.09,23.52,SHIPPED,delivered,cash,5425 Pine Rd,,
ORD_00055,55,273,CUST_0273,12/1/2023,2023-10-24T13:44:00.000Z,PROD_104,132,10,1,412.76,400.43,500.85,516.78,8.75,2.66,0.00,pending,,bank_transfer,2025 Pine Rd,,TRK808568
ORD_00056,56,458,CUST_0458,2023-05-04,2023-04-25T00:48:00.000Z,PROD_017,133,7,1,400.87,247.36,870.70,124.90,19.37,49.26,0.00,delivered,SHIPPED,cash,5432 Main St,,
ORD_00057,57,312,CUST_0312,4/16/2023,,PROD_083,120,7,5,393.62,412.56,427.46,250.98,0.00,19.87,28.30,processing,returned,debit_card,3406 Pine Rd,,TRK428273
ORD_00058,58,347,CUST_0347,2023-09-02,2023-04-16T20:57:00.000Z,PROD_142,125,6,3,314.83,258.07,687.03,511.42,13.30,20.91,0.00,pending,delivered,paypal,4200 Main St,,
ORD_00059,59,176,CUST_0176,8/12/2023,2023-09-11T05:56:00.000Z,PROD_003,189,8,1,491.94,27.32,561.68,343.47,23.42,23.46,0.00,CANCELLED,returned,debit_card,2151 Oak Ave,,TRK621475
ORD_00060,60,318,CUST_0318,2023-01-13,2023-04-22T02:51:00.000Z,PROD_033,173,8,5,482.66,26.65,222.89,550.99,0.00,23.06,0.00,pending,SHIPPED,debit_card,7700 Pine Rd,,TRK144620
ORD_00061,61,356,CUST_0356,2023-03-31,2023-09-19T11:16:00.000Z,PROD_035,157,6,5,377.46,40.59,109.67,835.83,0.00,30.47,0.00,processing,CANCELLED,paypal,5368 Main St,,TRK573741
ORD_00062,62,480,CUST_0480,2023-01-03,2023-12-27T04:46:00.000Z,PROD_047,72,4,3,312.05,335.43,99.31,602.32,9.04,11.44,0.00,CANCELLED,pending,bank_transfer,4050 Pine Rd,Special delivery instructions,
ORD_00063,63,461,CUST_0461,7/20/2023,,PROD_103,91,5,5,301.89,271.78,573.97,208.36,23.41,37.13,26.96,processing,returned,bank_transfer,1936 Pine Rd,,TRK504238
ORD_00064,64,227,CUST_0227,2023-04-24,2023-12-15T18:06:00.000Z,PROD_178,195,10,1,355.05,394.55,733.89,419.05,16.20,3.40,0.00,SHIPPED,SHIPPED,paypal,4832 Pine Rd,,TRK890965
ORD_00065,65,143,CUST_0143,7/26/2023,2023-04-26T05:58:00.000Z,PROD_164,174,6,3,54.35,400.21,300.46,426.94,19.76,11.23,0.00,processing,returned,credit_card,6373 Main St,,
ORD_00066,66,437,CUST_0437,9/5/2023,2023-04-09T04:49:00.000Z,PROD_117,72,1,3,494.44,56.24,823.83,148.39,19.56,38.44,0.00,processing,,credit_card,9145 Main St,,TRK774341
ORD_00067,67,269,CUST_0269,12/20/2023,2023-08-15T22:06:00.000Z,PROD_183,95,5,3,427.67,126.14,65.05,305.44,0.00,33.35,0.00,pending,returned,bank_transfer,4841 Main St,,
ORD_00068,68,356,CUST_0356,2023-12-25,,PROD_057,150,6,4,89.85,235.71,570.86,65.63,0.00,6.21,0.00,processing,returned,paypal,848 Pine Rd,,
ORD_00069,69,91,CUST_0091,2023-12-12,2023-03-04T10:07:00.000Z,PROD_113,170,4,1,326.38,270.89,699.94,161.28,7.86,9.70,5.00,pending,returned,cash,4495 Oak Ave,Special delivery instructions,
ORD_00070,70,422,CUST_0422,5/10/2023,,PROD_177,142,10,5,264.65,269.11,465.99,667.56,0.00,43.12,0.00,SHIPPED,SHIPPED,cash,1549 Main St,,
ORD_00071,71,405,CUST_0405,7/1/2023,2023-02-15T22:11:00.000Z,PROD_104,120,10,5,498.68,93.84,379.98,184.40,12.52,13.61,0.00,delivered,processing,debit_card,3640 Main St,,TRK497976
ORD_00072,72,491,CUST_0491,2023-10-10,,PROD_009,47,8,1,83.05,118.15,766.28,53.65,0.00,17.97,0.00,pending,SHIPPED,debit_card,8585 Oak Ave,,
ORD_00073,73,487,CUST_0487,,,PROD_120,117,1,4,154.95,335.61,861.14,425.58,0.00,34.13,0.00,SHIPPED,returned,bank_transfer,9486 Pine Rd,Special delivery instructions,
ORD_00074,74,482,CUST_0482,2023-01-13,2023-08-13T13:48:00.000Z,PROD_103,29,3,5,291.32,400.10,142.69,563.83,13.45,14.38,0.00,,returned,paypal,7937 Oak Ave,,TRK176079
ORD_00075,75,443,CUST_0443,6/22/2023,2023-01-15T10:33:00.000Z,PROD_006,187,10,4,92.97,319.98,544.88,447.80,9.23,25.40,0.00,processing,pending,paypal,9912 Oak Ave,,
ORD_00076,76,330,CUST_0330,4/6/2023,,PROD_007,79,6,5,498.04,92.84,720.26,456.26,0.00,50.50,0.00,,pending,cash,1409 Main St,Special delivery instructions,
ORD_00077,77,56,CUST_0056,2023-07-04,,PROD_200,163,2,2,499.68,207.86,621.80,328.58,0.00,39.08,0.00,processing,pending,credit_card,1442 Pine Rd,Special delivery instructions,
ORD_00078,78,467,CUST_0467,9/25/2023,,PROD_094,152,5,3,23.53,78.02,948.57,518.14,0.00,49.59,0.00,delivered,pending,debit_card,4295 Pine Rd,,TRK130367
ORD_00079,79,366,CUST_0366,3/4/2023,2023-06-09T15:33:00.000Z,PROD_003,123,3,4,129.35,24.36,709.60,216.66,20.17,33.86,0.00,CANCELLED,pending,debit_card,6513 Oak Ave,,TRK687251
ORD_00080,80,257,CUST_0257,12/16/2023,2023-07-04T13:47:00.000Z,PROD_128,60,7,5,131.09,118.77,472.03,563.64,13.63,17.95,0.00,returned,delivered,paypal,4326 Oak Ave,,TRK559836
ORD_00081,81,424,CUST_0424,,2023-08-17T10:25:00.000Z,PROD_098,187,7,1,149.66,179.53,235.41,792.05,17.60,32.08,0.00,CANCELLED,processing,cash,1099 Main St,,TRK624686
ORD_00082,82,123,CUST_0123,8/7/2023,2023-01-14T01:33:00.000Z,PROD_010,168,6,4,54.12,190.23,249.13,313.67,11.11,35.43,0.00,,delivered,bank_transfer,6539 Pine Rd,Special delivery instructions,TRK772544
ORD_00083,83,179,CUST_0179,2023-02-12,2023-04-18T13:31:00.000Z,PROD_059,94,1,5,73.65,378.82,673.09,768.58,16.40,2.32,0.00,returned,pending,bank_transfer,4892 Main St,Special delivery instructions,TRK636425
ORD_00084,84,172,CUST_0172,2023-09-10,2023-10-18T23:26:00.000Z,PROD_124,190,1,4,208.01,124.59,416.70,568.57,13.70,4.59,0.00,CANCELLED,pending,cash,7355 Oak Ave,,TRK405385
ORD_00085,85,285,CUST_0285,3/28/2023,2023-02-12T02:34:00.000Z,PROD_057,153,4,4,143.92,154.54,382.57,645.36,19.77,21.21,35.09,pending,processing,bank_transfer,6378 Main St,,
ORD_00086,86,406,CUST_0406,3/10/2023,2023-01-19T11:40:00.000Z,PROD_132,147,2,5,189.55,409.23,999.04,69.47,0.00,30.29,0.00,returned,CANCELLED,debit_card,103 Pine Rd,,
ORD_00087,87,213,CUST_0213,2023-03-22,2023-03-17T12:15:00.000Z,PROD_078,80,5,3,498.88,216.84,577.83,511.07,16.51,13.84,0.00,SHIPPED,pending,cash,9067 Main St,,TRK946245
ORD_00088,88,112,CUST_0112,6/1/2023,2023-11-21T08:16:00.000Z,PROD_098,53,8,3,48.78,102.87,207.18,691.77,14.94,32.88,0.00,SHIPPED,returned,credit_card,2793 Oak Ave,,TRK858838
ORD_00089,89,378,CUST_0378,2023-08-02,2023-12-04T15:00:00.000Z,PROD_015,46,9,4,60.59,304.30,290.69,823.79,0.00,22.19,0.00,,SHIPPED,debit_card,1768 Main St,,TRK515207
ORD_00090,90,63,CUST_0063,6/17/2023,2023-11-19T17:57:00.000Z,PROD_073,199,9,1,270.48,242.26,713.15,189.32,12.15,50.44,0.00,SHIPPED,delivered,bank_transfer,7447 Pine Rd,,
ORD_00091,91,413,CUST_0413,2023-08-23,2023-11-06T09:56:00.000Z,PROD_139,73,2,2,166.81,300.51,106.13,484.82,0.00,33.58,0.00,pending,pending,cash,3522 Pine Rd,,
ORD_00092,92,106,CUST_0106,,2023-07-03T18:15:00.000Z,PROD_019,139,9,2,25.64,93.59,748.20,807.78,23.78,22.37,0.00,pending,returned,bank_transfer,4189 Pine Rd,,TRK540585
ORD_00093,93,168,CUST_0168,2023-05-25,2023-10-15T02:57:00.000Z,PROD_131,177,3,2,493.51,339.39,331.99,242.46,23.22,45.36,26.36,delivered,delivered,credit_card,5870 Oak Ave,,TRK378048
ORD_00094,94,453,CUST_0453,2023-02-14,2023-08-08T02:40:00.000Z,PROD_055,139,4,5,90.89,193.34,229.21,60.38,15.45,42.96,0.00,SHIPPED,CANCELLED,cash,1454 Main St,,TRK860037
ORD_00095,95,73,CUST_0073,7/17/2023,,PROD_080,63,3,4,71.10,58.99,962.84,199.20,13.09,49.99,9.14,CANCELLED,pending,paypal,5069 Oak Ave,,
ORD_00096,96,123,CUST_0123,11/16/2023,,PROD_055,136,9,2,207.37,344.37,791.29,114.36,0.00,13.66,31.53,pending,delivered,credit_card,2314 Oak Ave,,TRK866566
ORD_00097,97,234,CUST_0234,2023-08-26,2023-05-11T02:17:00.000Z,PROD_043,131,10,4,177.87,49.54,294.33,62.61,13.96,29.50,0.00,,CANCELLED,paypal,5837 Oak Ave,Special delivery instructions,
ORD_00098,98,351,CUST_0351,2023-07-11,2023-04-26T07:46:00.000Z,PROD_187,70,5,4,337.51,147.32,54.57,747.80,0.00,32.58,43.42,SHIPPED,CANCELLED,debit_card,185 Oak Ave,,TRK729536
ORD_00099,99,350,CUST_0350,,2023-07-17T05:37:00.000Z,PROD_010,68,10,3,501.58,92.72,77.94,103.33,0.00,8.69,0.00,SHIPPED,SHIPPED,cash,608 Pine Rd,,TRK962420
ORD_00100,100,313,CUST_0313,2/5/2023,2023-03-22T06:59:00.000Z,PROD_021,20,6,4,108.42,311.85,88.32,448.82,10.63,27.47,0.00,pending,processing,cash,5242 Oak Ave,,TRK963153
ORD_00101,101,277,CUST_0277,8/21/2023,2023-09-17T13:46:00.000Z,PROD_066,102,6,4,363.61,113.04,1024.94,51.70,24.66,17.02,45.44,,pending,paypal,7535 Main St,,TRK359914
ORD_00102,102,48,CUST_0048,4/7/2023,2023-08-08T21:00:00.000Z,PROD_130,100,7,2,49.73,361.17,61.47,507.71,17.02,42.12,0.00,delivered,SHIPPED,credit_card,4371 Pine Rd,,TRK794799
ORD_00103,103,478,CUST_0478,7/23/2023,2023-08-11T13:06:00.000Z,PROD_117,10,6,2,318.57,362.40,914.60,169.53,20.08,51.54,0.00,returned,returned,cash,9111 Main St,Special delivery instructions,
ORD_00104,104,216,CUST_0216,12/3/2023,2023-08-18T20:59:00.000Z,PROD_065,108,9,5,17.78,315.17,1019.81,587.46,0.00,21.25,0.00,returned,returned,cash,9809 Pine Rd,,TRK302267
ORD_00105,105,320,CUST_0320,8/19/2023,2023-06-23T06:14:00.000Z,PROD_156,63,5,2,479.55,113.57,1016.13,789.14,16.32,29.57,0.00,SHIPPED,processing,paypal,1569 Pine Rd,,
ORD_00106,106,172,CUST_0172,11/8/2023,2023-01-02T12:12:00.000Z,PROD_134,24,5,1,378.93,307.52,746.60,225.87,10.39,18.14,0.00,,processing,debit_card,5099 Pine Rd,,
ORD_00107,107,193,CUST_0193,2023-10-09,,PROD_122,113,6,5,276.64,373.20,301.82,126.15,13.14,14.10,0.00,SHIPPED,CANCELLED,cash,4342 Pine Rd,,TRK788614
ORD_00108,108,137,CUST_0137,1/20/2023,2023-05-24T04:44:00.000Z,PROD_165,81,5,5,375.29,94.07,864.81,129.40,11.74,30.65,0.00,pending,SHIPPED,bank_transfer,767 Oak Ave,,
ORD_00109,109,473,CUST_0473,2023-03-21,2023-01-11T11:07:00.000Z,PROD_076,171,3,3,245.45,238.06,561.53,629.73,15.87,3.08,0.00,pending,returned,debit_card,1354 Main St,,TRK901027
ORD_00110,110,405,CUST_0405,2023-04-17,2023-12-14T08:52:00.000Z,PROD_092,122,8,4,174.93,340.33,656.31,145.49,19.74,5.66,0.00,processing,pending,cash,8526 Oak Ave,,
ORD_00111,111,223,CUST_0223,2023-06-05,2023-04-08T07:10:00.000Z,PROD_116,18,8,2,43.96,414.03,129.04,613.85,19.25,3.53,0.00,,processing,cash,1933 Oak Ave,Special delivery instructions,TRK319761
ORD_00112,112,314,CUST_0314,2023-02-04,,PROD_156,21,2,2,475.51,296.99,1045.95,609.74,13.90,28.78,0.00,delivered,delivered,debit_card,5629 Main St,,TRK464056
ORD_00113,113,477,CUST_0477,3/9/2023,2023-11-21T12:04:00.000Z,PROD_192,174,10,3,97.21,303.10,489.61,317.39,8.65,34.40,0.00,returned,,cash,4163 Main St,,
ORD_00114,114,384,CUST_0384,1/11/2023,2023-03-11T07:20:00.000Z,PROD_078,194,4,1,428.21,329.90,711.31,97.57,9.04,49.60,46.25,CANCELLED,processing,bank_transfer,5032 Pine Rd,Special delivery instructions,
ORD_00115,115,328,CUST_0328,8/5/2023,2023-02-03T23:16:00.000Z,PROD_044,197,9,2,385.63,207.23,115.19,178.79,0.00,23.69,18.05,delivered,returned,bank_transfer,6196 Oak Ave,Special delivery instructions,TRK189368
ORD_00116,116,354,CUST_0354,11/11/2023,2023-09-23T14:02:00.000Z,PROD_121,68,7,4,166.02,151.60,921.69,292.80,19.15,12.40,0.00,delivered,SHIPPED,debit_card,5568 Oak Ave,,TRK234950
ORD_00117,117,350,CUST_0350,2023-12-21,,PROD_149,157,3,2,328.67,333.71,821.68,635.97,7.05,12.98,0.00,SHIPPED,returned,bank_transfer,4265 Pine Rd,,TRK592552
ORD_00118,118,34,CUST_0034,6/5/2023,2023-02-13T06:13:00.000Z,PROD_174,44,6,5,336.92,94.96,1036.09,170.36,16.48,32.67,0.00,returned,SHIPPED,cash,3777 Oak Ave,Special delivery instructions,TRK399397
ORD_00119,119,15,CUST_0015,6/8/2023,2023-03-27T01:56:00.000Z,PROD_160,188,4,4,202.79,348.80,525.66,633.39,18.72,6.79,43.78,CANCELLED,pending,credit_card,5307 Oak Ave,,
ORD_00120,120,218,CUST_0218,,2023-06-27T12:00:00.000Z,PROD_139,162,3,2,321.01,119.31,633.65,681.83,9.23,43.66,0.00,processing,pending,paypal,9646 Oak Ave,,TRK285066
ORD_00121,121,165,CUST_0165,2023-12-03,2023-05-18T21:00:00.000Z,PROD_119,189,6,2,335.10,216.58,158.95,296.48,0.00,25.32,0.00,pending,returned,paypal,9397 Main St,Special delivery instructions,
ORD_00122,122,37,CUST_0037,8/17/2023,2023-02-04T15:22:00.000Z,PROD_039,183,4,5,302.88,43.50,507.09,653.95,0.00,7.23,0.00,processing,delivered,paypal,2550 Pine Rd,,TRK814129
ORD_00123,123,217,CUST_0217,2023-02-21,2023-11-19T14:56:00.000Z,PROD_062,156,1,5,346.61,404.77,1019.43,162.10,7.42,7.99,0.00,SHIPPED,pending,paypal,2124 Main St,Special delivery instructions,TRK106454
ORD_00124,124,494,CUST_0494,1/3/2023,2023-08-09T04:14:00.000Z,PROD_006,110,1,3,265.60,30.61,530.67,42.02,23.07,13.42,4.06,pending,SHIPPED,debit_card,8038 Pine Rd,,TRK550736
ORD_00125,125,294,CUST_0294,2023-03-18,2023-08-06T12:07:00.000Z,PROD_089,172,10,4,420.94,94.86,605.24,603.81,18.76,37.18,2.65,delivered,CANCELLED,cash,3591 Pine Rd,,TRK958918
ORD_00126,126,276,CUST_0276,5/4/2023,2023-05-22T08:24:00.000Z,PROD_040,72,7,5,507.80,406.37,116.33,723.82,0.00,33.09,27.95,pending,CANCELLED,paypal,6212 Main St,Special delivery instructions,TRK204357
ORD_00127,127,375,CUST_0375,,2023-03-15T00:25:00.000Z,PROD_089,39,7,1,335.51,204.66,153.52,545.91,22.22,27.48,0.00,,CANCELLED,credit_card,918 Main St,,
ORD_00128,128,5,CUST_0005,11/28/2023,2023-09-05T12:26:00.000Z,PROD_186,79,2,1,184.53,94.84,604.32,86.37,0.00,19.80,0.00,delivered,processing,cash,8180 Pine Rd,,TRK125543
